model_name,scaler_type,mse,mae,rmse,r2,timestamp,model_path,scaler_path,parameters
Linear Regression,minmax,20.78103496813959,3.446395971388114,4.558622047081727,0.7247912810542856,20250713_025655,saved_models_regression\linear_regression_minmax_20250713_025655.pkl,saved_models_regression\linear_regression_scaler_minmax_20250713_025655.pkl,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}"
Decision Tree,minmax,15.175882352941176,2.827450980392156,3.895623487060984,0.7990217933020629,20250713_025743,saved_models_regression\decision_tree_minmax_20250713_025743.pkl,saved_models_regression\decision_tree_scaler_minmax_20250713_025743.pkl,"{""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": null, ""splitter"": ""best""}"
Random Forest,minmax,8.847735019607846,2.158901960784313,2.97451424935364,0.8828271150089211,20250713_025743,saved_models_regression\random_forest_minmax_20250713_025743.pkl,saved_models_regression\random_forest_scaler_minmax_20250713_025743.pkl,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}"
SVR,minmax,26.07294284251181,3.264461993420453,5.106167138129324,0.6547091514049411,20250713_025743,saved_models_regression\svr_minmax_20250713_025743.pkl,saved_models_regression\svr_scaler_minmax_20250713_025743.pkl,"{""C"": 1.0, ""cache_size"": 200, ""coef0"": 0.0, ""degree"": 3, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": -1, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}"
Linear Regression Tuned (GSCV),minmax,20.78103496813959,3.446395971388114,4.558622047081727,0.7247912810542856,20250713_025746,saved_models_regression\linear_regression_tuned_(gscv)_minmax_20250713_025746.pkl,saved_models_regression\linear_regression_tuned_(gscv)_scaler_minmax_20250713_025746.pkl,"{""best_params"": {""copy_X"": true, ""fit_intercept"": true, ""positive"": false}, ""cv_score"": -26.174795333860857, ""all_params"": {""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}}"
Decision Tree Tuned (GSCV),minmax,17.15274552968538,3.1398365087936955,4.141587320060435,0.7728416736286763,20250713_025800,saved_models_regression\decision_tree_tuned_(gscv)_minmax_20250713_025800.pkl,saved_models_regression\decision_tree_tuned_(gscv)_scaler_minmax_20250713_025800.pkl,"{""best_params"": {""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2}, ""cv_score"": -21.54953892839407, ""all_params"": {""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}}"
SVR Tuned (GSCV),minmax,7.597422413458519,1.998276996733651,2.756342216318308,0.8993853341326358,20250713_030350,saved_models_regression\svr_tuned_(gscv)_minmax_20250713_030350.pkl,saved_models_regression\svr_tuned_(gscv)_scaler_minmax_20250713_030350.pkl,"{""best_params"": {""C"": 100, ""coef0"": 0.0, ""degree"": 2, ""epsilon"": 0.2, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""shrinking"": false, ""tol"": 0.001}, ""cv_score"": -13.79203232392696, ""all_params"": {""C"": 100, ""cache_size"": 200, ""coef0"": 0.0, ""degree"": 2, ""epsilon"": 0.2, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": -1, ""shrinking"": false, ""tol"": 0.001, ""verbose"": false}}"
Random Forest Tuned (GSCV),minmax,7.0265858663822085,1.9441995803129928,2.650770806083055,0.9069450728602364,20250713_035443,saved_models_regression\random_forest_tuned_(gscv)_minmax_20250713_035443.pkl,saved_models_regression\random_forest_tuned_(gscv)_scaler_minmax_20250713_035443.pkl,"{""best_params"": {""bootstrap"": false, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}, ""cv_score"": -10.648515104237664, ""all_params"": {""bootstrap"": false, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 200, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}}"
Linear Regression Tuned (RSCV),minmax,20.78103496813959,3.446395971388114,4.558622047081727,0.7247912810542856,20250713_035443,saved_models_regression\linear_regression_tuned_(rscv)_minmax_20250713_035443.pkl,saved_models_regression\linear_regression_tuned_(rscv)_scaler_minmax_20250713_035443.pkl,"{""best_params"": {""positive"": false, ""fit_intercept"": true, ""copy_X"": true}, ""cv_score"": -26.174795333860857, ""all_params"": {""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}}"
Decision Tree Tuned (RSCV),minmax,15.964036457685893,2.919829398649092,3.995502028241994,0.788584060925829,20250713_035444,saved_models_regression\decision_tree_tuned_(rscv)_minmax_20250713_035444.pkl,saved_models_regression\decision_tree_tuned_(rscv)_scaler_minmax_20250713_035444.pkl,"{""best_params"": {""splitter"": ""best"", ""min_weight_fraction_leaf"": 0.0, ""min_samples_split"": 20, ""min_samples_leaf"": 1, ""min_impurity_decrease"": 0.005, ""max_leaf_nodes"": 30, ""max_features"": 1.0, ""max_depth"": 35, ""criterion"": ""poisson"", ""ccp_alpha"": 0.015}, ""cv_score"": -18.982497916703586, ""all_params"": {""ccp_alpha"": 0.015, ""criterion"": ""poisson"", ""max_depth"": 35, ""max_features"": 1.0, ""max_leaf_nodes"": 30, ""min_impurity_decrease"": 0.005, ""min_samples_leaf"": 1, ""min_samples_split"": 20, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}}"
SVR Tuned (RSCV),minmax,7.880908197675692,2.0334379191985605,2.8072955308758805,0.8956310572338508,20250713_035450,saved_models_regression\svr_tuned_(rscv)_minmax_20250713_035450.pkl,saved_models_regression\svr_tuned_(rscv)_scaler_minmax_20250713_035450.pkl,"{""best_params"": {""tol"": 0.0001, ""shrinking"": false, ""max_iter"": 50000, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""epsilon"": 0.5, ""degree"": 4, ""coef0"": 0.1, ""cache_size"": 200, ""C"": 100}, ""cv_score"": -13.686097101287825, ""all_params"": {""C"": 100, ""cache_size"": 200, ""coef0"": 0.1, ""degree"": 4, ""epsilon"": 0.5, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": 50000, ""shrinking"": false, ""tol"": 0.0001, ""verbose"": false}}"
Random Forest Tuned (RSCV),minmax,8.081021862200448,2.2119313725490204,2.8427138199615607,0.8929808992729107,20250713_035719,saved_models_regression\random_forest_tuned_(rscv)_minmax_20250713_035719.pkl,saved_models_regression\random_forest_tuned_(rscv)_scaler_minmax_20250713_035719.pkl,"{""best_params"": {""n_estimators"": 300, ""min_weight_fraction_leaf"": 0.0, ""min_samples_split"": 8, ""min_samples_leaf"": 1, ""min_impurity_decrease"": 0.01, ""max_samples"": 0.7, ""max_leaf_nodes"": 100, ""max_features"": 0.5, ""max_depth"": 40, ""criterion"": ""absolute_error"", ""ccp_alpha"": 0.0, ""bootstrap"": true}, ""cv_score"": -13.099151711877571, ""all_params"": {""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""absolute_error"", ""max_depth"": 40, ""max_features"": 0.5, ""max_leaf_nodes"": 100, ""max_samples"": 0.7, ""min_impurity_decrease"": 0.01, ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}}"
Linear Regression,standard,20.78103496813959,3.446395971388114,4.558622047081727,0.7247912810542856,20250713_074141,saved_models_regression\linear_regression_standard_20250713_074141.pkl,saved_models_regression\linear_regression_scaler_standard_20250713_074141.pkl,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}"
Decision Tree,standard,16.70509803921568,2.976470588235294,4.0871870570376005,0.7787699872367477,20250713_074141,saved_models_regression\decision_tree_standard_20250713_074141.pkl,saved_models_regression\decision_tree_scaler_standard_20250713_074141.pkl,"{""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": null, ""splitter"": ""best""}"
Random Forest,standard,8.89175460784314,2.1613333333333333,2.9819045269497044,0.8822441520089873,20250713_074142,saved_models_regression\random_forest_standard_20250713_074142.pkl,saved_models_regression\random_forest_scaler_standard_20250713_074142.pkl,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 1.0, ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 100, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}"
SVR,standard,22.41428171898616,2.949381822257666,4.734372368011008,0.7031617642033752,20250713_074142,saved_models_regression\svr_standard_20250713_074142.pkl,saved_models_regression\svr_scaler_standard_20250713_074142.pkl,"{""C"": 1.0, ""cache_size"": 200, ""coef0"": 0.0, ""degree"": 3, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": -1, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}"
Linear Regression Tuned (GSCV),standard,20.78103496813959,3.446395971388114,4.558622047081727,0.7247912810542856,20250713_074145,saved_models_regression\linear_regression_tuned_(gscv)_standard_20250713_074145.pkl,saved_models_regression\linear_regression_tuned_(gscv)_scaler_standard_20250713_074145.pkl,"{""best_params"": {""copy_X"": true, ""fit_intercept"": true, ""positive"": false}, ""cv_score"": -26.174795333860896, ""all_params"": {""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}}"
Decision Tree Tuned (GSCV),standard,17.15274552968538,3.1398365087936955,4.141587320060435,0.7728416736286763,20250713_074200,saved_models_regression\decision_tree_tuned_(gscv)_standard_20250713_074200.pkl,saved_models_regression\decision_tree_tuned_(gscv)_scaler_standard_20250713_074200.pkl,"{""best_params"": {""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2}, ""cv_score"": -21.54953892839407, ""all_params"": {""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}}"
SVR Tuned (GSCV),standard,8.737754976960968,2.1775491598468584,2.9559693802475304,0.884283609677875,20250713_075631,saved_models_regression\svr_tuned_(gscv)_standard_20250713_075631.pkl,saved_models_regression\svr_tuned_(gscv)_scaler_standard_20250713_075631.pkl,"{""best_params"": {""C"": 100, ""coef0"": 0.0, ""degree"": 2, ""epsilon"": 0.1, ""gamma"": ""auto"", ""kernel"": ""rbf"", ""shrinking"": false, ""tol"": 0.0001}, ""cv_score"": -14.08082928819162, ""all_params"": {""C"": 100, ""cache_size"": 200, ""coef0"": 0.0, ""degree"": 2, ""epsilon"": 0.1, ""gamma"": ""auto"", ""kernel"": ""rbf"", ""max_iter"": -1, ""shrinking"": false, ""tol"": 0.0001, ""verbose"": false}}"
Random Forest Tuned (GSCV),standard,7.071510720155135,1.9459857884083689,2.65923122728264,0.9063501211903784,20250713_132945,saved_models_regression\random_forest_tuned_(gscv)_standard_20250713_132945.pkl,saved_models_regression\random_forest_tuned_(gscv)_scaler_standard_20250713_132945.pkl,"{""best_params"": {""bootstrap"": false, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}, ""cv_score"": -10.678685853896704, ""all_params"": {""bootstrap"": false, ""ccp_alpha"": 0.0, ""criterion"": ""squared_error"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 200, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}}"
Linear Regression Tuned (RSCV),standard,20.78103496813959,3.446395971388114,4.558622047081727,0.7247912810542856,20250713_132945,saved_models_regression\linear_regression_tuned_(rscv)_standard_20250713_132945.pkl,saved_models_regression\linear_regression_tuned_(rscv)_scaler_standard_20250713_132945.pkl,"{""best_params"": {""positive"": false, ""fit_intercept"": true, ""copy_X"": true}, ""cv_score"": -26.174795333860896, ""all_params"": {""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false, ""tol"": 1e-06}}"
Decision Tree Tuned (RSCV),standard,15.993953572219588,2.9260505716221834,3.999244125109093,0.7881878606991323,20250713_132947,saved_models_regression\decision_tree_tuned_(rscv)_standard_20250713_132947.pkl,saved_models_regression\decision_tree_tuned_(rscv)_scaler_standard_20250713_132947.pkl,"{""best_params"": {""splitter"": ""best"", ""min_weight_fraction_leaf"": 0.0, ""min_samples_split"": 20, ""min_samples_leaf"": 1, ""min_impurity_decrease"": 0.005, ""max_leaf_nodes"": 30, ""max_features"": 1.0, ""max_depth"": 35, ""criterion"": ""poisson"", ""ccp_alpha"": 0.015}, ""cv_score"": -18.982497916703586, ""all_params"": {""ccp_alpha"": 0.015, ""criterion"": ""poisson"", ""max_depth"": 35, ""max_features"": 1.0, ""max_leaf_nodes"": 30, ""min_impurity_decrease"": 0.005, ""min_samples_leaf"": 1, ""min_samples_split"": 20, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 42, ""splitter"": ""best""}}"
SVR Tuned (RSCV),standard,8.737553271013097,2.1775061383197563,2.955935261641076,0.8842862809228637,20250713_133000,saved_models_regression\svr_tuned_(rscv)_standard_20250713_133000.pkl,saved_models_regression\svr_tuned_(rscv)_scaler_standard_20250713_133000.pkl,"{""best_params"": {""tol"": 0.001, ""shrinking"": false, ""max_iter"": 50000, ""kernel"": ""rbf"", ""gamma"": ""auto"", ""epsilon"": 0.1, ""degree"": 2, ""coef0"": 0.1, ""cache_size"": 200, ""C"": 100}, ""cv_score"": -14.081139750666235, ""all_params"": {""C"": 100, ""cache_size"": 200, ""coef0"": 0.1, ""degree"": 2, ""epsilon"": 0.1, ""gamma"": ""auto"", ""kernel"": ""rbf"", ""max_iter"": 50000, ""shrinking"": false, ""tol"": 0.001, ""verbose"": false}}"
Random Forest Tuned (RSCV),standard,8.086351845860579,2.21174183006536,2.8436511470046004,0.8929103128956029,20250713_133247,saved_models_regression\random_forest_tuned_(rscv)_standard_20250713_133247.pkl,saved_models_regression\random_forest_tuned_(rscv)_scaler_standard_20250713_133247.pkl,"{""best_params"": {""n_estimators"": 300, ""min_weight_fraction_leaf"": 0.0, ""min_samples_split"": 8, ""min_samples_leaf"": 1, ""min_impurity_decrease"": 0.01, ""max_samples"": 0.7, ""max_leaf_nodes"": 100, ""max_features"": 0.5, ""max_depth"": 40, ""criterion"": ""absolute_error"", ""ccp_alpha"": 0.0, ""bootstrap"": true}, ""cv_score"": -13.100491043731996, ""all_params"": {""bootstrap"": true, ""ccp_alpha"": 0.0, ""criterion"": ""absolute_error"", ""max_depth"": 40, ""max_features"": 0.5, ""max_leaf_nodes"": 100, ""max_samples"": 0.7, ""min_impurity_decrease"": 0.01, ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}}"
